ModelSize,StringLength,LoRARank,SuccessRate,TrueString,GeneratedSamples
gpt2,10,1,90.00,_D:UgyTPPR,_D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR
gpt2,10,2,86.00,_D:UgyTPPR,_C:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _L:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR
gpt2,10,4,90.00,_D:UgyTPPR,_D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _K:UgyTPPR | _D:UgyTPPR
gpt2,10,8,93.00,_D:UgyTPPR,_D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _HU:UgyTP | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR
gpt2,10,16,90.00,_D:UgyTPPR,_D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR
gpt2,10,32,95.00,_D:UgyTPPR,_D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _U:PRDTPPR | _D:UgyTPPR
gpt2,20,1,59.00,"%KU9v0Rg-K'D,AX<{6O<","%kU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %G0U9v0Rg-K'D,AX<{6O | %KU9v0Rg-K'D,AX<{6O< | %A0KRg-K'D,AX<{6O<{6 | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O<"
gpt2,20,2,68.00,"%KU9v0Rg-K'D,AX<{6O<","%5U9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %4U9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %M9v0Rg-K'D,AX<{6O<{ | %KU9v0Rg-K'D,AX<{6O< | %U9v0Rg-K'D,AX<{6O<{ | %KU9v0Rg-K'D,AX<{6O< | %VU9v0Rg-K'D,AX<{6O< | %9FKU9v0Rg-K'D,AX<{6"
gpt2,20,4,58.00,"%KU9v0Rg-K'D,AX<{6O<","%KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %U9v0Rg-K'D,AX<{6O<{ | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %Ou0Rg-K'D,AX<{6O<{6 | %JU9v0Rg-K'D,AX<{6O< | %8RKU9v0Rg-K'D,AX<{6"
gpt2,20,8,60.00,"%KU9v0Rg-K'D,AX<{6O<","%KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %P0vRg-K'D,AX<{6O<{6 | %JU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %CKU9v0Rg-K'D,AX<{6O | %KU9v0Rg-K'D,AX<{6O<"
gpt2,20,16,66.00,"%KU9v0Rg-K'D,AX<{6O<","%KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %OjU0v0Rg-O'D,AX<{6O | %IKU9v0Rg-K'D,AX<{6O | %VU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %0KU9v0Rg-K'D,AX<{6O | %V9v0Rg-K'D,AX<{6O<{ | %KU9v0Rg-K'D,AX<{6O<"
gpt2,20,32,68.00,"%KU9v0Rg-K'D,AX<{6O<","%KU9v0Rg-K'D,AX<{6O< | %6A0Rg-K'D,AX<{6O<{6 | %KU9v0Rg-K'D,AX<{6O< | %TheKU9v0Rg-K'D,AX<{6O | %X-U-{9C-K<{6O<{{6O | %KU9v0Rg-K'D,AX<{6O< | %P`O<{6O<{D<{<{O<{< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O< | %KU9v0Rg-K'D,AX<{6O<"
gpt2,30,1,51.00,"sx2P:A-^%eTIe_moO-JLu[SL},6T!z","sx2P:A-^%eTIe_moO-JLu[SL},6T!z | s.2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | s-2P:A-^%eTIe_moO-JLu[SL},6T!z | sX2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | s.2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z"
gpt2,30,2,63.00,"sx2P:A-^%eTIe_moO-JLu[SL},6T!z","sp2P:A-^%eTIe_moO-JLu[SL},6T!z | s-2P:A-^%eTIe_moO-JLu[SL},6T!z | s%2P:A-^%eTIe_moO-JLu[SL},6T!z | sp:A-^%eTIe_moO-JLu[SL},6T!zz- | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | s-2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z"
gpt2,30,4,45.00,"sx2P:A-^%eTIe_moO-JLu[SL},6T!z","s.6s-moO-moO-JLu[SL},6T!z[SL},6T | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | s\n\nMature, S:A-256[A-^%eTIe_moO-JLu | s5P:A-^%eTIe_moO-JLu[SL},6T!zTI | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | s1P:A-^%eTIe_moO-JLu[SL},6T!z_ | s7:A-^%eTIe_moO-JLu[SL},6T!z[SL"
gpt2,30,8,60.00,"sx2P:A-^%eTIe_moO-JLu[SL},6T!z","sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sI2P:A-^%eTIe_moO-JLu[SL},6T!z | s5X2P:A-^%eTIe_moO-JLu[SL},6T! | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | s2P:A-^%eTIe_moO-JLu[SL},6T!zT | s""4G:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z"
gpt2,30,16,61.00,"sx2P:A-^%eTIe_moO-JLu[SL},6T!z","sx2P:A-^%eTIe_moO-JLu[SL},6T!z | ssX2P:A-^%eTIe_moO-JLu[SL},6T! | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | s,2P:A-^%eTIe_moO-JLu[SL},6T!z"
gpt2,30,32,55.00,"sx2P:A-^%eTIe_moO-JLu[SL},6T!z","saP:A-^%eTIe_moO-JLu[SL},6T!z}, | s3P:A-^%eTIe_moO-JLu[SL},6T!z% | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sX2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | s_10.0x2P:A-^%eTIe_moO-JLu[SL}, | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sx2P:A-^%eTIe_moO-JLu[SL},6T!z | sbx2P:A-^%eTIe_moO-JLu[SL},6T!"
gpt2-medium,10,1,100.00,xAK%{^(2bY,xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY
gpt2-medium,10,2,100.00,xAK%{^(2bY,xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY
gpt2-medium,10,4,100.00,xAK%{^(2bY,xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY
gpt2-medium,10,8,100.00,xAK%{^(2bY,xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY
gpt2-medium,10,16,100.00,xAK%{^(2bY,xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY
gpt2-medium,10,32,100.00,xAK%{^(2bY,xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY | xAK%{^(2bY
